CODE,DESIGNATOR,NAME,DESCRIPTION
0,CS,COVER SHEET,
10,G,GENERAL,"SHEET LIST, SYMBOLS, CODE SUMMARY, ETC"
20,H,HAZARDOUS MATERIALS,"ABATEMENT, HANDLING, ETC"
30,V,SURVEY,
40,B,GEOTECHNICAL,
50,C,CIVIL,
60,L,LANDSCAPE,
70,S,STRUCTURAL,
80,A,ARCHITECTURAL,
90,I,INTERIORS,
100,Q,EQUIPMENT,
110,F,FIRE PROTECTION,
120,P,PLUMBING,
130,D,PROCESS,
140,M,MECHANICAL,
150,E,ELECTRICAL,
160,W,DISTRIBUTED ENERGY,
170,T,TELECOMMUNICATIONS,
180,R,RESOURCE,"EXISTING CONDITIONS, BUILDINGS"
190,X,OTHER DISCIPLINES,
200,Z,CONTRACTOR SHOP DRAWINGS,
210,O,OPERATIONS,
220,AD,ARCHITECTURAL DEMOLITION,
230,AF,ARCHITECTURAL FINISHES,
240,AG,ARCHITECTURAL GRAPHICS,
250,AI,ARCHITECTURAL INTERIORS,
260,FA,FIRE ALARM,
270,MH,HVAC,
280,MP,HVAC PIPING,
290,EL,ELECTRICAL LIGHTING,
300,EP,ELECTRICAL POWER,
310,RA,EXISTING ARCHITECTURAL,
320,RS,EXISTING STRUCTURAL,
330,RP,EXISTING PLUMBING,
340,RM,EXISTING MECHANICAL,
