SHEET NUMBER,SHEET NAME,DISCIPLINE NAME LOOKUP,DESIGNATOR,SHEET TYPE,SEPARATOR,SHEET TYPE LOOKUP,SHEET NAME MODIFIER,LEVEL,SEPARATOR2,SEQUENCE NUMBER,Designator Code,
CS0-01,COVERSHEET,COVER SHEET,CS,0,-,"SYMBOL LEGEND, ABBREVIATIONS, GENERAL NOTES, SPECIFICATIONS",COVERSHEET,,0,1,0,
G0-01,"ABBREVIATIONS, ADA, GENERAL NOTES, FIRE MARSHAL NOTES",GENERAL,G,0,-,"SYMBOL LEGEND, ABBREVIATIONS, GENERAL NOTES, SPECIFICATIONS","ABBREVIATIONS, ADA, GENERAL NOTES, FIRE MARSHAL NOTES",,0,1,10,
G0-02,"TAS, ADA SPECIFICATIONS & DETAILS",GENERAL,G,0,-,"SYMBOL LEGEND, ABBREVIATIONS, GENERAL NOTES, SPECIFICATIONS","TAS, ADA SPECIFICATIONS & DETAILS",,0,2,10,
G1-101,LIFE SAFETY PLAN,GENERAL,G,1,-,PLANS,LIFE SAFETY PLAN,1,0,1,11,
A1-101,DIMENSION PLAN - FLOOR,ARCHITECTURAL,A,1,-,PLANS,DIMENSION PLAN - FLOOR,1,0,1,81,
A1-102,DIMENSION PLAN - REFLECTED CEILING,ARCHITECTURAL,A,1,-,PLANS,DIMENSION PLAN - REFLECTED CEILING,1,0,2,81,
A1-103,DIMENSION PLAN - ROOF,ARCHITECTURAL,A,1,-,PLANS,DIMENSION PLAN - ROOF,1,0,3,81,
A1-104,CONSTRUCTION PLAN - FLOOR,ARCHITECTURAL,A,1,-,PLANS,CONSTRUCTION PLAN - FLOOR,1,0,4,81,
A1-105,CONSTRUCTION PLAN - REFLECTED CEILING,ARCHITECTURAL,A,1,-,PLANS,CONSTRUCTION PLAN - REFLECTED CEILING,1,0,5,81,
A1-106,CONSTRUCTION PLAN - ROOF,ARCHITECTURAL,A,1,-,PLANS,CONSTRUCTION PLAN - ROOF,1,0,6,81,
A1-107,CONSTRUCTION PLAN - GAS CANOPY,ARCHITECTURAL,A,1,-,PLANS,CONSTRUCTION PLAN - GAS CANOPY,1,0,7,81,
A1-108,FINISH PLAN - FLOOR,ARCHITECTURAL,A,1,-,PLANS,FINISH PLAN - FLOOR,1,0,8,81,
A1-109,FINISH PLAN - REFLECTED CEILING PLAN,ARCHITECTURAL,A,1,-,PLANS,FINISH PLAN - REFLECTED CEILING PLAN,1,0,9,81,
A2-01,ELEVATIONS - EXTERIOR,ARCHITECTURAL,A,2,-,ELEVATIONS,ELEVATIONS - EXTERIOR,,0,1,82,
A2-02,ELEVATIONS - EXTERIOR,ARCHITECTURAL,A,2,-,ELEVATIONS,ELEVATIONS - EXTERIOR,,0,2,82,
A3-01,SECTIONS - BUILDING,ARCHITECTURAL,A,3,-,SECTIONS,SECTIONS - BUILDING,,0,1,83,
A3-02,SECTIONS - BUILDING,ARCHITECTURAL,A,3,-,SECTIONS,SECTIONS - BUILDING,,0,2,83,
A3-03,SECTIONS - WALL,ARCHITECTURAL,A,3,-,SECTIONS,SECTIONS - WALL,,0,3,83,
A3-04,SECTIONS - WALL,ARCHITECTURAL,A,3,-,SECTIONS,SECTIONS - WALL,,0,4,83,
A4-01,"ENLARGED PLANS, ELEVATIONS, SECTIONS",ARCHITECTURAL,A,4,-,"ENLARGED PLANS, ELEVATIONS, SECTIONS",,,0,1,84,
A4-02,"ENLARGED PLANS, ELEVATIONS, SECTIONS",ARCHITECTURAL,A,4,-,"ENLARGED PLANS, ELEVATIONS, SECTIONS",,,0,2,84,
A5-01,DETAILS - CONSTRUCTION,ARCHITECTURAL,A,5,-,DETAILS,DETAILS - CONSTRUCTION,,0,1,85,
A5-02,DETAILS - CONSTRUCTION,ARCHITECTURAL,A,5,-,DETAILS,DETAILS - CONSTRUCTION,,0,2,85,
A6-01,SCHEDULES AND DETAILS - DOOR,ARCHITECTURAL,A,6,-,SCHEDULES AND DIAGRAMS,SCHEDULES AND DETAILS - DOOR,,0,1,86,
A6-02,SCHEDULES AND DETAILS - WINDOW,ARCHITECTURAL,A,6,-,SCHEDULES AND DIAGRAMS,SCHEDULES AND DETAILS - WINDOW,,0,2,86,
I2-01,ELEVATIONS - INTERIOR,INTERIORS,I,2,-,ELEVATIONS,ELEVATIONS - INTERIOR,,0,1,92,
I2-02,ELEVATIONS - INTERIOR,INTERIORS,I,2,-,ELEVATIONS,ELEVATIONS - INTERIOR,,0,2,92,
